gravidade;mlb;titulo;marca;modelo;cor_declarada;tamanho;sku;origem;agrupador;estoque_ml;status;diagnostico
FOTO ERRADA;MLB7584859274;Chinelo Havaianas Brasil Amarelo 35 Br;Havaianas;BRASIL;Amarelo;35;01067335;chinelo dedo havaianas brasil (1288 amarelo pop marinho 35/36);2362313-1288amarelopopmarinho;4;paused;"foto e rosa; origem diz amarelo pop/marinho"
FOTO ERRADA;MLB7584859300;Chinelo Havaianas Brasil Amarelo 36 Br;Havaianas;BRASIL;Amarelo;36;01067335;chinelo dedo havaianas brasil (1288 amarelo pop marinho 35/36);2362313-1288amarelopopmarinho;4;paused;"foto e rosa; origem diz amarelo pop/marinho"
FOTO ERRADA;MLB7584846456;Chinelo Havaianas Brasil Amarelo 37 Br;Havaianas;BRASIL;Amarelo;37;01067337;chinelo dedo havaianas brasil (1288 amarelo pop marinho 37/38);2362313-1288amarelopopmarinho;4;paused;"foto e rosa; origem diz amarelo pop/marinho"
FOTO ERRADA;MLB7584846490;Chinelo Havaianas Brasil Amarelo 38 Br;Havaianas;BRASIL;Amarelo;38;01067337;chinelo dedo havaianas brasil (1288 amarelo pop marinho 37/38);2362313-1288amarelopopmarinho;5;paused;"foto e rosa; origem diz amarelo pop/marinho"
FOTO ERRADA;MLB7584859426;Chinelo Havaianas Brasil Amarelo 39 Br;Havaianas;BRASIL;Amarelo;39;01067339;chinelo dedo havaianas brasil (1288 amarelo pop marinho 39/40);2362313-1288amarelopopmarinho;10;paused;"foto e rosa; origem diz amarelo pop/marinho"
FOTO ERRADA;MLB7584835470;Chinelo Havaianas Brasil Amarelo 40 Br;Havaianas;BRASIL;Amarelo;40;01067339;chinelo dedo havaianas brasil (1288 amarelo pop marinho 39/40);2362313-1288amarelopopmarinho;10;paused;"foto e rosa; origem diz amarelo pop/marinho"
FOTO ERRADA;MLB7584974218;Chinelo Havaianas Dual Branco Cinza Gelo Branco 38 Br;Havaianas;DUAL;Branco;38;00639537;chinelo dedo havaianas dual (dual branco cinza gelo 37/38);2363773-DUALBRANCOCINZAGELO;1;paused;"foto e preta/cinza; origem diz branco/cinza gelo"
FOTO ERRADA;MLB7584974270;Chinelo Havaianas Dual Branco Cinza Gelo Branco 39 Br;Havaianas;DUAL;Branco;39;00639539;chinelo dedo havaianas dual (dual branco cinza gelo 39/40);2363773-DUALBRANCOCINZAGELO;3;paused;"foto e preta/cinza; origem diz branco/cinza gelo"
FOTO ERRADA;MLB7584961486;Chinelo Havaianas Dual Branco Cinza Gelo Branco 40 Br;Havaianas;DUAL;Branco;40;00639539;chinelo dedo havaianas dual (dual branco cinza gelo 39/40);2363773-DUALBRANCOCINZAGELO;4;paused;"foto e preta/cinza; origem diz branco/cinza gelo"
FOTO ERRADA;MLB7584771500;Chinelo Dedo Havaianas Fantasia Style Ii Bege 33 Br;Havaianas;FANTASIA STYLE II;Bege;33;00984233;chinelo dedo havaianas fantasia style ii (fant bege palha 33/34);2398392-fantbegepalha;1;paused;"foto e a estampa rosa de coracoes; origem diz bege palha"
FOTO ERRADA;MLB7584746516;Chinelo Dedo Havaianas Fantasia Style Ii Bege 34 Br;Havaianas;FANTASIA STYLE II;Bege;34;00984233;chinelo dedo havaianas fantasia style ii (fant bege palha 33/34);2398392-fantbegepalha;2;paused;"foto e a estampa rosa de coracoes; origem diz bege palha"
FOTO ERRADA;MLB7584784396;Chinelo Dedo Havaianas Fantasia Style Ii Bege 35 Br;Havaianas;FANTASIA STYLE II;Bege;35;00984235;chinelo dedo havaianas fantasia style ii (fant bege palha 35/36);2398392-fantbegepalha;5;paused;"foto e a estampa rosa de coracoes; origem diz bege palha"
FOTO ERRADA;MLB7584771332;Chinelo Dedo Havaianas Fantasia Style Ii Bege 36 Br;Havaianas;FANTASIA STYLE II;Bege;36;00984235;chinelo dedo havaianas fantasia style ii (fant bege palha 35/36);2398392-fantbegepalha;5;paused;"foto e a estampa rosa de coracoes; origem diz bege palha"
FOTO ERRADA;MLB7584746782;Chinelo Dedo Havaianas Fantasia Style Ii Bege 39 Br;Havaianas;FANTASIA STYLE II;Bege;39;00984239;chinelo dedo havaianas fantasia style ii (fant bege palha 39/40);2398392-fantbegepalha;5;paused;"foto e a estampa rosa de coracoes; origem diz bege palha"
FOTO ERRADA;MLB7584784016;Chinelo Dedo Havaianas Fantasia Style Ii Bege 40 Br;Havaianas;FANTASIA STYLE II;Bege;40;00984239;chinelo dedo havaianas fantasia style ii (fant bege palha 39/40);2398392-fantbegepalha;5;paused;"foto e a estampa rosa de coracoes; origem diz bege palha"
FOTO ERRADA;MLB5183223159;Chinelo Havaianas Glitter Glam E Edge Feminina Brilho Cinza 35 Br;Havaianas;GLITTER EDGE;Cinza;35;01057235;chinelo slim havaianas glitter edge (ed cinza gelo 35/36);2606512-edcinzagelo;6;paused;"foto e a bege palha; origem diz cinza gelo"
FOTO ERRADA;MLB5183173313;Chinelo Havaianas Glitter Glam E Edge Feminina Brilho Cinza 36 Br;Havaianas;GLITTER EDGE;Cinza;36;01057235;chinelo slim havaianas glitter edge (ed cinza gelo 35/36);2606512-edcinzagelo;6;paused;"foto e a bege palha; origem diz cinza gelo"
FOTO ERRADA;MLB5183173345;Chinelo Havaianas Glitter Glam E Edge Feminina Brilho Cinza 37 Br;Havaianas;GLITTER EDGE;Cinza;37;01057237;chinelo slim havaianas glitter edge (ed cinza gelo 37/38);2606512-edcinzagelo;3;paused;"foto e a bege palha; origem diz cinza gelo"
FOTO ERRADA;MLB5183223311;Chinelo Havaianas Glitter Glam E Edge Feminina Brilho Cinza 38 Br;Havaianas;GLITTER EDGE;Cinza;38;01057237;chinelo slim havaianas glitter edge (ed cinza gelo 37/38);2606512-edcinzagelo;4;paused;"foto e a bege palha; origem diz cinza gelo"
FOTO ERRADA;MLB5183223359;Chinelo Havaianas Glitter Glam E Edge Feminina Brilho Cinza 39 Br;Havaianas;GLITTER EDGE;Cinza;39;01057239;chinelo slim havaianas glitter edge (ed cinza gelo 39/40);2606512-edcinzagelo;4;paused;"foto e a bege palha; origem diz cinza gelo"
FOTO ERRADA;MLB5183173515;Chinelo Havaianas Glitter Glam E Edge Feminina Brilho Cinza 40 Br;Havaianas;GLITTER EDGE;Cinza;40;01057239;chinelo slim havaianas glitter edge (ed cinza gelo 39/40);2606512-edcinzagelo;4;paused;"foto e a bege palha; origem diz cinza gelo"
FOTO ERRADA;MLB5183223457;Chinelo Havaianas Glitter Glam E Edge Feminina Brilho Verde 35 Br;Havaianas;GLITTER EDGE;Verde;35;01057335;chinelo slim havaianas glitter edge (ed verde olive 35/36);2606512-edverdeolive;5;paused;"foto e a bege palha; origem diz verde olive"
FOTO ERRADA;MLB5183173627;Chinelo Havaianas Glitter Glam E Edge Feminina Brilho Verde 36 Br;Havaianas;GLITTER EDGE;Verde;36;01057335;chinelo slim havaianas glitter edge (ed verde olive 35/36);2606512-edverdeolive;6;paused;"foto e a bege palha; origem diz verde olive"
FOTO ERRADA;MLB5183210809;Chinelo Havaianas Glitter Glam E Edge Feminina Brilho Verde 37 Br;Havaianas;GLITTER EDGE;Verde;37;01057337;chinelo slim havaianas glitter edge (ed verde olive 37/38);2606512-edverdeolive;6;paused;"foto e a bege palha; origem diz verde olive"
FOTO ERRADA;MLB5183223627;Chinelo Havaianas Glitter Glam E Edge Feminina Brilho Verde 38 Br;Havaianas;GLITTER EDGE;Verde;38;01057337;chinelo slim havaianas glitter edge (ed verde olive 37/38);2606512-edverdeolive;6;paused;"foto e a bege palha; origem diz verde olive"
FOTO ERRADA;MLB5183223683;Chinelo Havaianas Glitter Glam E Edge Feminina Brilho Verde 39 Br;Havaianas;GLITTER EDGE;Verde;39;01057339;chinelo slim havaianas glitter edge (ed verde olive 39/40);2606512-edverdeolive;5;paused;"foto e a bege palha; origem diz verde olive"
FOTO ERRADA;MLB5183210941;Chinelo Havaianas Glitter Glam E Edge Feminina Brilho Verde 40 Br;Havaianas;GLITTER EDGE;Verde;40;01057339;chinelo slim havaianas glitter edge (ed verde olive 39/40);2606512-edverdeolive;5;paused;"foto e a bege palha; origem diz verde olive"
FOTO ERRADA;MLB5183171703;Chinelo Feminino Square Havaianas Jelly Jel Buttercream Blossom 33 Br;Havaianas;JELLY;Blossom;33;01056933;chinelo square havaianas jelly (jel blossom 33/34);2606511-jelblossom;6;paused;"foto e a azul lavanda; origem diz blossom"
FOTO ERRADA;MLB5183171759;Chinelo Feminino Square Havaianas Jelly Jel Buttercream Blossom 34 Br;Havaianas;JELLY;Blossom;34;01056933;chinelo square havaianas jelly (jel blossom 33/34);2606511-jelblossom;6;paused;"foto e a azul lavanda; origem diz blossom"
FOTO ERRADA;MLB5183171807;Chinelo Feminino Square Havaianas Jelly Jel Buttercream Blossom 35 Br;Havaianas;JELLY;Blossom;35;01056935;chinelo square havaianas jelly (jel blossom 35/36);2606511-jelblossom;6;paused;"foto e a azul lavanda; origem diz blossom"
FOTO ERRADA;MLB5183209021;Chinelo Feminino Square Havaianas Jelly Jel Buttercream Blossom 36 Br;Havaianas;JELLY;Blossom;36;01056935;chinelo square havaianas jelly (jel blossom 35/36);2606511-jelblossom;6;paused;"foto e a azul lavanda; origem diz blossom"
FOTO ERRADA;MLB5183171917;Chinelo Feminino Square Havaianas Jelly Jel Buttercream Blossom 37 Br;Havaianas;JELLY;Blossom;37;01056937;chinelo square havaianas jelly (jel blossom 37/38);2606511-jelblossom;6;paused;"foto e a azul lavanda; origem diz blossom"
FOTO ERRADA;MLB5183221859;Chinelo Feminino Square Havaianas Jelly Jel Buttercream Blossom 38 Br;Havaianas;JELLY;Blossom;38;01056937;chinelo square havaianas jelly (jel blossom 37/38);2606511-jelblossom;6;paused;"foto e a azul lavanda; origem diz blossom"
FOTO ERRADA;MLB5183221913;Chinelo Feminino Square Havaianas Jelly Jel Buttercream Buttercream 35 Br;Havaianas;JELLY;Buttercream;35;01057035;chinelo square havaianas jelly (jel buttercream 35/36);2606511-jelbuttercream;6;paused;"foto e a azul lavanda; origem diz buttercream"
FOTO ERRADA;MLB5183209263;Chinelo Feminino Square Havaianas Jelly Jel Buttercream Buttercream 36 Br;Havaianas;JELLY;Buttercream;36;01057035;chinelo square havaianas jelly (jel buttercream 35/36);2606511-jelbuttercream;6;paused;"foto e a azul lavanda; origem diz buttercream"
FOTO ERRADA;MLB5183172159;Chinelo Feminino Square Havaianas Jelly Jel Buttercream Buttercream 37 Br;Havaianas;JELLY;Buttercream;37;01057037;chinelo square havaianas jelly (jel buttercream 37/38);2606511-jelbuttercream;5;paused;"foto e a azul lavanda; origem diz buttercream"
FOTO ERRADA;MLB5183172201;Chinelo Feminino Square Havaianas Jelly Jel Buttercream Buttercream 38 Br;Havaianas;JELLY;Buttercream;38;01057037;chinelo square havaianas jelly (jel buttercream 37/38);2606511-jelbuttercream;6;paused;"foto e a azul lavanda; origem diz buttercream"
FOTO ERRADA;MLB5183222087;Chinelo Feminino Square Havaianas Jelly Jel Buttercream Buttercream 39 Br;Havaianas;JELLY;Buttercream;39;01057039;chinelo square havaianas jelly (jel buttercream 39/40);2606511-jelbuttercream;5;paused;"foto e a azul lavanda; origem diz buttercream"
FOTO ERRADA;MLB5183172305;Chinelo Feminino Square Havaianas Jelly Jel Buttercream Buttercream 40 Br;Havaianas;JELLY;Buttercream;40;01057039;chinelo square havaianas jelly (jel buttercream 39/40);2606511-jelbuttercream;6;paused;"foto e a azul lavanda; origem diz buttercream"
FOTO ERRADA;MLB7584838422;Chinelo Havaianas Slim Liso - Chinelo Dedo Havaianas Slim Li Amarelo 36 Br;Havaianas;SLIM LISO;Amarelo;36;00628535;chinelo dedo havaianas slim liso (sl amarelo pop 35/36);2360426-SLAMARELOPOP;1;paused;"foto e branca/creme; origem diz amarelo pop"
FOTO ERRADA;MLB7584963816;Chinelo Havaianas Slim Point Point Ferrungem/smok Gree Amarelo 33 Br;Havaianas;SLIM POINT;Amarelo;33;01016833;chinelo dedo havaianas slim point (amaranto/amarelo n 33/34);2391440-amarantoamarelon;1;paused;"foto e verde menta; origem diz amaranto/amarelo neon"
FOTO ERRADA;MLB7584952522;Chinelo Havaianas Slim Point Point Ferrungem/smok Gree Amarelo 34 Br;Havaianas;SLIM POINT;Amarelo;34;01016833;chinelo dedo havaianas slim point (amaranto/amarelo n 33/34);2391440-amarantoamarelon;1;paused;"foto e verde menta; origem diz amaranto/amarelo neon"
FOTO ERRADA;MLB7584952548;Chinelo Havaianas Slim Point Point Ferrungem/smok Gree Amarelo 37 Br;Havaianas;SLIM POINT;Amarelo;37;01016837;chinelo dedo havaianas slim point (amaranto/amarelo n 37/38);2391440-amarantoamarelon;1;paused;"foto e verde menta; origem diz amaranto/amarelo neon"
FOTO ERRADA;MLB7584952582;Chinelo Havaianas Slim Point Point Ferrungem/smok Gree Amarelo 38 Br;Havaianas;SLIM POINT;Amarelo;38;01016837;chinelo dedo havaianas slim point (amaranto/amarelo n 37/38);2391440-amarantoamarelon;2;paused;"foto e verde menta; origem diz amaranto/amarelo neon"
FOTO ERRADA;MLB7584963938;Chinelo Havaianas Slim Point Point Ferrungem/smok Gree Amarelo 39 Br;Havaianas;SLIM POINT;Amarelo;39;01016839;chinelo dedo havaianas slim point (amaranto/amarelo n 39/40);2391440-amarantoamarelon;2;paused;"foto e verde menta; origem diz amaranto/amarelo neon"
FOTO ERRADA;MLB7584952632;Chinelo Havaianas Slim Point Point Ferrungem/smok Gree Amarelo 40 Br;Havaianas;SLIM POINT;Amarelo;40;01016839;chinelo dedo havaianas slim point (amaranto/amarelo n 39/40);2391440-amarantoamarelon;3;paused;"foto e verde menta; origem diz amaranto/amarelo neon"
FOTO ERRADA;MLB5183575735;Chinelo Havaianas Slim Square Feminino Original Branco 33 Br;Havaianas;SLIM SQUARE LISO;Branco;33;00636733;chinelo dedo havaianas slim square liso (sqe branco/branco 33/34);2359737-SQEBRANCOBRANCO;1;paused;"foto e rosa/coral; origem diz branco/branco"
FOTO ERRADA;MLB5183575773;Chinelo Havaianas Slim Square Feminino Original Branco 34 Br;Havaianas;SLIM SQUARE LISO;Branco;34;00636733;chinelo dedo havaianas slim square liso (sqe branco/branco 33/34);2359737-SQEBRANCOBRANCO;1;paused;"foto e rosa/coral; origem diz branco/branco"
FOTO ERRADA;MLB5183588615;Chinelo Havaianas Slim Square Feminino Original Branco 35 Br;Havaianas;SLIM SQUARE LISO;Branco;35;00636735;chinelo dedo havaianas slim square liso (sqe branco/branco 35/36);2359737-SQEBRANCOBRANCO;3;paused;"foto e rosa/coral; origem diz branco/branco"
FOTO ERRADA;MLB5183575843;Chinelo Havaianas Slim Square Feminino Original Branco 36 Br;Havaianas;SLIM SQUARE LISO;Branco;36;00636735;chinelo dedo havaianas slim square liso (sqe branco/branco 35/36);2359737-SQEBRANCOBRANCO;4;paused;"foto e rosa/coral; origem diz branco/branco"
FOTO ERRADA;MLB5183588683;Chinelo Havaianas Slim Square Feminino Original Branco 37 Br;Havaianas;SLIM SQUARE LISO;Branco;37;00636737;chinelo dedo havaianas slim square liso (sqe branco/branco 37/38);2359737-SQEBRANCOBRANCO;4;paused;"foto e rosa/coral; origem diz branco/branco"
FOTO ERRADA;MLB5183575933;Chinelo Havaianas Slim Square Feminino Original Branco 38 Br;Havaianas;SLIM SQUARE LISO;Branco;38;00636737;chinelo dedo havaianas slim square liso (sqe branco/branco 37/38);2359737-SQEBRANCOBRANCO;4;paused;"foto e rosa/coral; origem diz branco/branco"
FOTO ERRADA;MLB5183588789;Chinelo Havaianas Slim Square Feminino Original Branco 39 Br;Havaianas;SLIM SQUARE LISO;Branco;39;00636739;chinelo dedo havaianas slim square liso (sqe branco/branco 39/40);2359737-SQEBRANCOBRANCO;4;paused;"foto e rosa/coral; origem diz branco/branco"
FOTO ERRADA;MLB5183551799;Chinelo Havaianas Slim Square Feminino Original Branco 40 Br;Havaianas;SLIM SQUARE LISO;Branco;40;00636739;chinelo dedo havaianas slim square liso (sqe branco/branco 39/40);2359737-SQEBRANCOBRANCO;5;paused;"foto e rosa/coral; origem diz branco/branco"
FOTO ERRADA;MLB5183303847;Chinelo Havaianas Top Basic Branco 37 Br;Havaianas;TOP BASIC;Branco;37;00607837;chinelo havaianas top basic (t basic branco/br/branco 37/38);2363789-TBASICBRANCOBRBRANCO;6;paused;"foto e listrada creme/vermelho; origem diz branco/branco"
FOTO ERRADA;MLB5183314723;Chinelo Havaianas Top Basic Branco 38 Br;Havaianas;TOP BASIC;Branco;38;00607837;chinelo havaianas top basic (t basic branco/br/branco 37/38);2363789-TBASICBRANCOBRBRANCO;6;paused;"foto e listrada creme/vermelho; origem diz branco/branco"
FOTO ERRADA;MLB5183327489;Chinelo Havaianas Top Basic Branco 39 Br;Havaianas;TOP BASIC;Branco;39;00607839;chinelo havaianas top basic (t basic branco/br/branco 39/40);2363789-TBASICBRANCOBRBRANCO;8;paused;"foto e listrada creme/vermelho; origem diz branco/branco"
FOTO ERRADA;MLB5183327541;Chinelo Havaianas Top Basic Branco 40 Br;Havaianas;TOP BASIC;Branco;40;00607839;chinelo havaianas top basic (t basic branco/br/branco 39/40);2363789-TBASICBRANCOBRBRANCO;8;paused;"foto e listrada creme/vermelho; origem diz branco/branco"
FOTO ERRADA;MLB5183327599;Chinelo Havaianas Top Basic Preto 37 Br;Havaianas;TOP BASIC;Preto;37;00642437;chinelo havaianas top basic (t basic preto/pre/branco 37/38);2363789-TBASICPRETOPREBRANCO;1;paused;"foto e listrada creme/vermelho; origem diz preto/preto/branco"
FOTO ERRADA;MLB5183304089;Chinelo Havaianas Top Basic Preto 38 Br;Havaianas;TOP BASIC;Preto;38;00642437;chinelo havaianas top basic (t basic preto/pre/branco 37/38);2363789-TBASICPRETOPREBRANCO;1;paused;"foto e listrada creme/vermelho; origem diz preto/preto/branco"
FOTO ERRADA;MLB5183314985;Chinelo Havaianas Top Basic Preto 40 Br;Havaianas;TOP BASIC;Preto;40;00642439;chinelo havaianas top basic (t basic preto/pre/branco 39/40);2363789-TBASICPRETOPREBRANCO;1;paused;"foto e listrada creme/vermelho; origem diz preto/preto/branco"
FOTO ERRADA;MLB5183313513;Chinelo Havaianas Top Basic Preto 37 Br;Havaianas;TOP BASIC 25/6;Preto;37;00983537;chinelo dedo havaianas top basic 25/6 (t/basic preto/preto/preto 37/38);2393120-tbasicpretopretopreto;4;paused;"foto e a branca/azul; origem diz preto/preto/preto"
FOTO ERRADA;MLB5183302807;Chinelo Havaianas Top Basic Preto 38 Br;Havaianas;TOP BASIC 25/6;Preto;38;00983537;chinelo dedo havaianas top basic 25/6 (t/basic preto/preto/preto 37/38);2393120-tbasicpretopretopreto;5;paused;"foto e a branca/azul; origem diz preto/preto/preto"
FOTO ERRADA;MLB5183326451;Chinelo Havaianas Top Basic Preto 39 Br;Havaianas;TOP BASIC 25/6;Preto;39;00983539;chinelo dedo havaianas top basic 25/6 (t/basic preto/preto/preto 39/40);2393120-tbasicpretopretopreto;3;paused;"foto e a branca/azul; origem diz preto/preto/preto"
FOTO ERRADA;MLB5183326515;Chinelo Havaianas Top Basic Preto 40 Br;Havaianas;TOP BASIC 25/6;Preto;40;00983539;chinelo dedo havaianas top basic 25/6 (t/basic preto/preto/preto 39/40);2393120-tbasicpretopretopreto;4;paused;"foto e a branca/azul; origem diz preto/preto/preto"
FOTO ERRADA;MLB7584861046;Chinelo Havaianas Top Liso Top Amarelo 33 Br;Havaianas;TOP LISO;Amarelo;33;00630733;chinelo dedo havaianas top liso (top l amarelo pop 33/34);2361827-TOPLAMARELOPOP;3;paused;"foto e estampa tropical; o modelo e LISO, cor amarelo pop"
FOTO ERRADA;MLB7584848198;Chinelo Havaianas Top Liso Top Amarelo 34 Br;Havaianas;TOP LISO;Amarelo;34;00630733;chinelo dedo havaianas top liso (top l amarelo pop 33/34);2361827-TOPLAMARELOPOP;4;paused;"foto e estampa tropical; o modelo e LISO, cor amarelo pop"
FOTO ERRADA;MLB7584848238;Chinelo Havaianas Top Liso Top Amarelo 35 Br;Havaianas;TOP LISO;Amarelo;35;00630735;chinelo dedo havaianas top liso (top l amarelo pop 35/36);2361827-TOPLAMARELOPOP;2;paused;"foto e estampa tropical; o modelo e LISO, cor amarelo pop"
FOTO ERRADA;MLB7584837162;Chinelo Havaianas Top Liso Top Amarelo 36 Br;Havaianas;TOP LISO;Amarelo;36;00630735;chinelo dedo havaianas top liso (top l amarelo pop 35/36);2361827-TOPLAMARELOPOP;2;paused;"foto e estampa tropical; o modelo e LISO, cor amarelo pop"
FOTO ERRADA;MLB7584848336;Chinelo Havaianas Top Liso Top Amarelo 37 Br;Havaianas;TOP LISO;Amarelo;37;00630737;chinelo dedo havaianas top liso (top l amarelo pop 37/38);2361827-TOPLAMARELOPOP;2;paused;"foto e estampa tropical; o modelo e LISO, cor amarelo pop"
FOTO ERRADA;MLB7584837240;Chinelo Havaianas Top Liso Top Amarelo 38 Br;Havaianas;TOP LISO;Amarelo;38;00630737;chinelo dedo havaianas top liso (top l amarelo pop 37/38);2361827-TOPLAMARELOPOP;3;paused;"foto e estampa tropical; o modelo e LISO, cor amarelo pop"
FOTO ERRADA;MLB7584837274;Chinelo Havaianas Top Liso Top Amarelo 39 Br;Havaianas;TOP LISO;Amarelo;39;00630739;chinelo dedo havaianas top liso (top l amarelo pop 39/40);2361827-TOPLAMARELOPOP;2;paused;"foto e estampa tropical; o modelo e LISO, cor amarelo pop"
FOTO ERRADA;MLB7584848448;Chinelo Havaianas Top Liso Top Amarelo 40 Br;Havaianas;TOP LISO;Amarelo;40;00630739;chinelo dedo havaianas top liso (top l amarelo pop 39/40);2361827-TOPLAMARELOPOP;2;paused;"foto e estampa tropical; o modelo e LISO, cor amarelo pop"
FOTO ERRADA;MLB5183548141;Chinelo Havaianas Top Tiras Rosa 35 Br;Havaianas;TOP TIRAS;Rosa;35;00962035;chinelo havaianas top tiras (rosa ballet/tiras 35/36);2387439-rosaballettiras;8;paused;"foto e a marrom cafe; origem diz rosa ballet"
