"Id Derivação";"Tags Produto";Código;"Código Alternativo";"Id Produto";"Produto - Derivação";"Nome da Derivação";Marca;Modelo;"Qtde Estoque";"Id Pai";"Código Pai";"Código Agrupador";Tipo;"Tipo Registro";EAN;NCM;CEST;"Origem Fiscal";"Peso (kg)";"Largura (cm)";"Altura (cm)";"Comprimento (cm)";Volume;"Palavras Chave";"Data de Lançamento";"Data Atualização Produto";Ativo
39349;;00183243;;2292;"Chinelo Havaianas Top Logomania 2 - chinelo havaianas top logomania 2 vermelho rubi (top logo 43/44)";"chinelo havaianas top logomania 2 vermelho rubi (top logo 43/44)";Havaianas;"Chinelo Havaianas Top Logomania 2";0;39309;2362508;2362508-TOPLOGO;Produto;Filho;7909690336525;64022000;;0;0,350;12,00;8,00;27,00;0;"chinelo havaianas top logomania 2, havaianas logomania 2, chinelo com logo havaianas, chinelo masculino, chinelo feminino, chinelo casual, chinelo confortável, chinelo de borracha, chinelo de verão, chinelo moderno, chinelo estiloso, chinelo versátil, chinelo de grãos de arroz, chinelo com tiras de pvc.";;"26/05/2025 14:54:03";Sim
39352;;00183245;;2292;"Chinelo Havaianas Top Logomania 2 - chinelo havaianas top logomania 2 vermelho rubi (top logo 45/46)";"chinelo havaianas top logomania 2 vermelho rubi (top logo 45/46)";Havaianas;"Chinelo Havaianas Top Logomania 2";0;39309;2362508;2362508-TOPLOGO;Produto;Filho;7909690336532;64022000;;0;0,350;12,00;8,00;27,00;0;"chinelo havaianas top logomania 2, havaianas logomania 2, chinelo com logo havaianas, chinelo masculino, chinelo feminino, chinelo casual, chinelo confortável, chinelo de borracha, chinelo de verão, chinelo moderno, chinelo estiloso, chinelo versátil, chinelo de grãos de arroz, chinelo com tiras de pvc.";;"26/05/2025 14:54:03";Sim
39351;;00183247;;2292;"Chinelo Havaianas Top Logomania 2 - chinelo havaianas top logomania 2 vermelho rubi (top logo 47/48)";"chinelo havaianas top logomania 2 vermelho rubi (top logo 47/48)";Havaianas;"Chinelo Havaianas Top Logomania 2";0;39309;2362508;2362508-TOPLOGO;Produto;Filho;7909690336549;64022000;;0;0,350;12,00;8,00;27,00;0;"chinelo havaianas top logomania 2, havaianas logomania 2, chinelo com logo havaianas, chinelo masculino, chinelo feminino, chinelo casual, chinelo confortável, chinelo de borracha, chinelo de verão, chinelo moderno, chinelo estiloso, chinelo versátil, chinelo de grãos de arroz, chinelo com tiras de pvc.";;"26/05/2025 14:54:03";Sim
64442;;001KIT;;3825;001KIT;;Actvitta;;0;0;;;Kit;Pai;;;;;0,000;0,00;0,00;0,00;0;;31/07/2026;"31/07/2026 15:33:59";Sim
64443;;001KIT1;;3826;001KIT;;Actvitta;;0;0;;;Kit;Pai;;;;;0,000;0,00;0,00;0,00;0;;31/07/2026;"31/07/2026 15:37:44";Sim
44306;;00397400;;2582;"Mochila Infantil Clio Pets CP3403D Safari - mochila infantil clio pets cp3403d girafa (girafa amarelo/azul un)";"mochila infantil clio pets cp3403d girafa (girafa amarelo/azul un)";"Clio Pets";"CP3403D SAFARI";8;44294;2370556;2370556-GIRAFAAMARELOAZUL;Produto;Filho;;42029200;1900501;0;0,370;32,00;35,00;3,00;0;"mochila infantil girafa, mochila escolar girafa, mochila Clio Pets girafa, mochila infantil amarela, mochila com orelhas de pelúcia, mochila com tema de girafa, mochila para crianças pequenas, mochila para creche, mochila para pré-escola, mochila com bolsos laterais, mochila com bolso frontal, mochila com alças acolchoadas, mochila leve infantil, mochila resistente para crianças, mochila com estampa divertida, mochila com detalhes em PU, mochila com puxadores personalizados, mochila com alça de mão, mochila sem rodinhas, mochila para meninas de 3 a 6 anos, mochila com compartimento principal espaçoso, mochila com bolsos telados, mochila com aplique de girafa, mochila para uso diário infantil, mochila para passeios infantis, mochila com design divertido, mochila com tema de animais, mochila com estampa exclusiva, mochila com alças ajustáveis, mochila com fechamento em zíper, mochila com material em poliéster, mochila com frente em silk, mochila com detalhes em PU, mochila com puxadores em formato de patinhas, mochila com altura de 33 cm, mochila com largura de 27 cm, mochila com profundidade de 15 cm, mochila com peso de 280 g, mochila impermeável infantil, mochila Clio Pets CP3403D, Girafa, Zebra, Safari";;"26/05/2025 14:54:03";Sim
44298;;00397500;;2582;"Mochila Infantil Clio Pets CP3403D Safari - mochila infantil clio pets cp3403d zebra (zebra cinza/verde un)";"mochila infantil clio pets cp3403d zebra (zebra cinza/verde un)";"Clio Pets";"CP3403D SAFARI";8;44294;2370556;2370556-ZEBRACINZAVERDE;Produto;Filho;;42029200;1900501;0;0,370;32,00;35,00;3,00;0;"mochila infantil girafa, mochila escolar girafa, mochila Clio Pets girafa, mochila infantil amarela, mochila com orelhas de pelúcia, mochila com tema de girafa, mochila para crianças pequenas, mochila para creche, mochila para pré-escola, mochila com bolsos laterais, mochila com bolso frontal, mochila com alças acolchoadas, mochila leve infantil, mochila resistente para crianças, mochila com estampa divertida, mochila com detalhes em PU, mochila com puxadores personalizados, mochila com alça de mão, mochila sem rodinhas, mochila para meninas de 3 a 6 anos, mochila com compartimento principal espaçoso, mochila com bolsos telados, mochila com aplique de girafa, mochila para uso diário infantil, mochila para passeios infantis, mochila com design divertido, mochila com tema de animais, mochila com estampa exclusiva, mochila com alças ajustáveis, mochila com fechamento em zíper, mochila com material em poliéster, mochila com frente em silk, mochila com detalhes em PU, mochila com puxadores em formato de patinhas, mochila com altura de 33 cm, mochila com largura de 27 cm, mochila com profundidade de 15 cm, mochila com peso de 280 g, mochila impermeável infantil, mochila Clio Pets CP3403D, Girafa, Zebra, Safari";;"26/05/2025 14:54:03";Sim
58539;;00415500;;3474;"Mochila Molekinha Infantil 20023.1 Lurex Preto - mochila molekinha 20023.1 pvc/gorgurao lurex preto (17131 preto 01/prata un)";"mochila molekinha 20023.1 pvc/gorgurao lurex preto (17131 preto 01/prata un)";Molekinha;20023.1;2;58537;2562443;2562443-17131preto01prata;Produto;Filho;7909914967290;42022210;;0;0,650;20,00;9,00;24,00;0;"mochila infantil feminina, mochila molekinha preta, mochila eva infantil, mochila pequena feminina, mochila infantil preta, mochila feminina estilosa, mochila infantil moderna, mochila infantil resistente, mochila estruturada infantil, mochila para passeio infantil, mochila infantil elegante, mochila infantil verniz, mochila infantil com relevo, mochila de costas infantil, mochila pequena molekinha, mochila infantil fashion, mochila infantil leve, mochila para escolinha, mochila infantil delicada, mochila infantil preta feminina, mochila infantil confortável, mochila infantil prática, mochila infantil com zíper, mochila molekinha original, mochila infantil compacta, mochila infantil dia a dia, mochila infantil moderna preta, mochila infantil feminina pequena, mochila infantil luxo, mochila infantil passeio menina, mochila infantil tendência, mochila feminina mini, mochila infantil blogueirinha, mochila infantil premium, mochila infantil lançamento, mochila infantil estilosa preta, mochila infantil resistente eva, mochila infantil presente menina, mochila infantil charmosa, mochila infantil fashionista, mochila pequena feminina infantil, mochila infantil linda, mochila infantil preta básica, mochila infantil sofisticada, mochila infantil versátil, mochila infantil leve eva, mochila infantil escolar pequena, mochila infantil urbana, mochila infantil marca molekinha, mochila infantil brilho discreto";;"12/02/2026 11:33:28";Sim
44300;;00485200;;2584;"Mochila Infantil Clio Pets CP2653D Unicórnio - mochila infantil clio pets cp2653d unicornio rosa (unicornio rosa un)";"mochila infantil clio pets cp2653d unicornio rosa (unicornio rosa un)";"Clio Pets";"CP2653D Unicórnio";0;44296;2370555;2370555-UNICORNIOROSA;Produto;Filho;;42029200;1900501;0;0,370;32,00;35,00;3,00;0;"mochila infantil unicórnio, mochila escolar unicórnio, mochila clio pets, mochila infantil rosa, mochila com glitter, mochila de unicórnio para meninas, mochila pequena infantil, mochila para creche, mochila para educação infantil, mochila com bolsos laterais, mochila com bolso frontal, mochila com alças ajustáveis, mochila leve infantil, mochila resistente para crianças, mochila com estampa lúdica, mochila com detalhes em PU, mochila com puxadores personalizados, mochila com alça de mão, mochila sem rodas, mochila para meninas de 3 a 6 anos, mochila com compartimento principal espaçoso, mochila com bolsos telados, mochila com aplique de unicórnio, mochila com chifre em glitter, mochila para uso diário infantil, mochila para passeios infantis, mochila com design divertido, mochila com tema de animais, mochila com estampa exclusiva, mochila com alças acolchoadas, mochila com fechamento em zíper, mochila com material em poliéster, mochila com frente em silk, mochila com detalhes em PU, mochila com puxadores em formato de patinhas, mochila com altura de 33 cm, mochila com largura de 27 cm, mochila com profundidade de 15 cm, mochila com peso de 280 g";;"26/05/2025 14:54:03";Sim
44304;;00485400;;2584;"Mochila Infantil Clio Pets CP2653D Unicórnio - mochila infantil clio pets cp2653d unicornio lila (unicornio lilas un)";"mochila infantil clio pets cp2653d unicornio lila (unicornio lilas un)";"Clio Pets";"CP2653D Unicórnio";0;44296;2370555;2370555-UNICORNIOLILAS;Produto;Filho;;42029200;1900501;0;0,370;32,00;35,00;3,00;0;"mochila infantil unicórnio, mochila escolar unicórnio, mochila clio pets, mochila infantil rosa, mochila com glitter, mochila de unicórnio para meninas, mochila pequena infantil, mochila para creche, mochila para educação infantil, mochila com bolsos laterais, mochila com bolso frontal, mochila com alças ajustáveis, mochila leve infantil, mochila resistente para crianças, mochila com estampa lúdica, mochila com detalhes em PU, mochila com puxadores personalizados, mochila com alça de mão, mochila sem rodas, mochila para meninas de 3 a 6 anos, mochila com compartimento principal espaçoso, mochila com bolsos telados, mochila com aplique de unicórnio, mochila com chifre em glitter, mochila para uso diário infantil, mochila para passeios infantis, mochila com design divertido, mochila com tema de animais, mochila com estampa exclusiva, mochila com alças acolchoadas, mochila com fechamento em zíper, mochila com material em poliéster, mochila com frente em silk, mochila com detalhes em PU, mochila com puxadores em formato de patinhas, mochila com altura de 33 cm, mochila com largura de 27 cm, mochila com profundidade de 15 cm, mochila com peso de 280 g";;"26/05/2025 14:54:03";Sim
41609;;00591200;;2413;"Bolsa de Praia Tote Bag MF3545 Rosa Claro - bolsa  praia tote bag mf3545 rosa claro (rosa claro 3545 un)";"bolsa  praia tote bag mf3545 rosa claro (rosa claro 3545 un)";"Clio Style";"MF3545 CORES";20;41532;2365803;2365803-ROSACLARO3545;Produto;Filho;;42029200;2805900;5;0,380;21,00;6,00;24,00;0;"bolsa de praia feminina, bolsa tote verão, bolsa rosa claro, Clio Style MF3545, bolsa grande para praia, bolsa resistente areia, bolsa com zíper, bolsa para piscina, bolsa para toalha e protetor, moda praia feminina, bolsa prática para viagem, bolsa leve verão, bolsa para dia de sol, acessório moda verão, bolsa rosa bebê, bolsa espaçosa com alça, bolsa versátil praia, bolsa impermeável, bolsa casual feminina, estilo casual praia, tote bag verão, bolsa de tecido resistente, bolsa feminina charmosa, bolsa para looks de verão, bolsa ideal para areia, bolsa de praia bonita, bolsa com fecho seguro, bolsa Clio moda, bolsa com estampa verão, bolsa rosa delicada.";;"26/05/2025 14:54:03";Sim
41603;;00591300;;2415;"Bolsa de Praia Tote Bag MF3495 Bananinha - bolsa de praia tote bag mf3495 bananinha (roxo 3495 un)";"bolsa de praia tote bag mf3495 bananinha (roxo 3495 un)";"Clio Style";"MF3495 BANANINHA";5;41536;2365801;2365801-ROXO3495;Produto;Filho;;42022220;2805900;5;0,380;21,00;6,00;34,00;0;"bolsa de praia, bolsa tote, bolsa estampada, tote bag feminina, bolsa grande praia, bolsa bananinha, bolsa MF3495, bolsa verão 2025, bolsa para piscina, bolsa com alça confortável, bolsa com zíper, bolsa resistente ao sol, bolsa poliéster, bolsa com estampa tropical, bolsa para viagem, bolsa espaçosa, bolsa leve, bolsa prática, acessório praia, acessório feminino verão, moda praia feminina, bolsa divertida, bolsa colorida, bolsa durável, bolsa lavável, bolsa com tema tropical, banana print bag, bolsa para levar toalha, bolsa para levar protetor solar, bolsa para dia de sol, bolsa versátil feminina, estilo verão, bolsa para usar na praia e piscina, bolsa para usar com biquíni, estilo tropical, moda praia casual.";;"26/05/2025 14:54:03";Sim
41602;;00591400;;2415;"Bolsa de Praia Tote Bag MF3495 Bananinha - bolsa de praia tote bag mf3495 bananinha (laranja 3495 un)";"bolsa de praia tote bag mf3495 bananinha (laranja 3495 un)";"Clio Style";"MF3495 BANANINHA";3;41536;2365801;2365801-LARANJA3495;Produto;Filho;;42022220;2805900;5;0,380;21,00;6,00;34,00;0;"bolsa de praia, bolsa tote, bolsa estampada, tote bag feminina, bolsa grande praia, bolsa bananinha, bolsa MF3495, bolsa verão 2025, bolsa para piscina, bolsa com alça confortável, bolsa com zíper, bolsa resistente ao sol, bolsa poliéster, bolsa com estampa tropical, bolsa para viagem, bolsa espaçosa, bolsa leve, bolsa prática, acessório praia, acessório feminino verão, moda praia feminina, bolsa divertida, bolsa colorida, bolsa durável, bolsa lavável, bolsa com tema tropical, banana print bag, bolsa para levar toalha, bolsa para levar protetor solar, bolsa para dia de sol, bolsa versátil feminina, estilo verão, bolsa para usar na praia e piscina, bolsa para usar com biquíni, estilo tropical, moda praia casual.";;"26/05/2025 14:54:03";Sim
41595;;00591500;;2415;"Bolsa de Praia Tote Bag MF3495 Bananinha - bolsa de praia tote bag mf3495 bananinha (verde 3495 un)";"bolsa de praia tote bag mf3495 bananinha (verde 3495 un)";"Clio Style";"MF3495 BANANINHA";0;41536;2365801;2365801-VERDE3495;Produto;Filho;7899753550138;42022220;2805900;5;0,380;21,00;6,00;34,00;0;"bolsa de praia, bolsa tote, bolsa estampada, tote bag feminina, bolsa grande praia, bolsa bananinha, bolsa MF3495, bolsa verão 2025, bolsa para piscina, bolsa com alça confortável, bolsa com zíper, bolsa resistente ao sol, bolsa poliéster, bolsa com estampa tropical, bolsa para viagem, bolsa espaçosa, bolsa leve, bolsa prática, acessório praia, acessório feminino verão, moda praia feminina, bolsa divertida, bolsa colorida, bolsa durável, bolsa lavável, bolsa com tema tropical, banana print bag, bolsa para levar toalha, bolsa para levar protetor solar, bolsa para dia de sol, bolsa versátil feminina, estilo verão, bolsa para usar na praia e piscina, bolsa para usar com biquíni, estilo tropical, moda praia casual.";;"26/05/2025 14:54:03";Sim
44292;;00596600;;2581;"Mochila Clio Pets CP2643D Dog - mochila clio pets cp2643d dog amarelo/azul (cachorro amarelo/azul un)";"mochila clio pets cp2643d dog amarelo/azul (cachorro amarelo/azul un)";"Clio Pets";"CP2643D Dog";7;44289;2370546;2370546-CACHORROAMARELOAZUL;Produto;Filho;;42029200;1900501;0;0,370;32,00;35,00;3,00;0;"mochila infantil cachorro, mochila clio pets, mochila escolar infantil, mochila cachorro vermelho, mochila cachorro azul, mochila clio cp2643d, mochila com bolsos laterais, mochila com alças acolchoadas, mochila poliéster infantil, mochila com pelúcia, mochila com detalhes em PU, mochila para crianças 3 anos, mochila pré-escolar, mochila com zíper personalizado, mochila leve para crianças, mochila resistente infantil, mochila com bolso frontal, mochila temática cachorro, mochila clio style, mochila escolar divertida, mochila infantil unissex, mochila com compartimento principal, mochila com bolsos laterais para garrafa, mochila com alças ajustáveis, mochila infantil colorida, mochila com estampa de cachorro, mochila para meninos, mochila para meninas, mochila escolar colorida, mochila com design lúdico, mochila com frente em silk, mochila com detalhes em pelúcia, mochila com alças reguláveis, mochila com zíper de metal, mochila com capacidade de 11 litros, mochila para uso diário, mochila infantil prática, mochila com fechamento em zíper, mochila com material resistente, mochila com design divertido.";;"26/05/2025 14:54:03";Sim
44293;;00596700;;2581;"Mochila Clio Pets CP2643D Dog - mochila clio pets cp2643d dog vermelho/azul (cachorro vermelho un)";"mochila clio pets cp2643d dog vermelho/azul (cachorro vermelho un)";"Clio Pets";"CP2643D Dog";3;44289;2370546;2370546-CACHORROVERMELHO;Produto;Filho;;42029200;1900501;0;0,370;32,00;35,00;3,00;0;"mochila infantil cachorro, mochila clio pets, mochila escolar infantil, mochila cachorro vermelho, mochila cachorro azul, mochila clio cp2643d, mochila com bolsos laterais, mochila com alças acolchoadas, mochila poliéster infantil, mochila com pelúcia, mochila com detalhes em PU, mochila para crianças 3 anos, mochila pré-escolar, mochila com zíper personalizado, mochila leve para crianças, mochila resistente infantil, mochila com bolso frontal, mochila temática cachorro, mochila clio style, mochila escolar divertida, mochila infantil unissex, mochila com compartimento principal, mochila com bolsos laterais para garrafa, mochila com alças ajustáveis, mochila infantil colorida, mochila com estampa de cachorro, mochila para meninos, mochila para meninas, mochila escolar colorida, mochila com design lúdico, mochila com frente em silk, mochila com detalhes em pelúcia, mochila com alças reguláveis, mochila com zíper de metal, mochila com capacidade de 11 litros, mochila para uso diário, mochila infantil prática, mochila com fechamento em zíper, mochila com material resistente, mochila com design divertido.";;"26/05/2025 14:54:03";Sim
58609;;00596800;;3490;"Mochila Infantil Clio Pets cp2649d Pato / Tubarão - mochila clio pets cp2649d tubarao vermelho/azul (vermelho/azul un)";"mochila clio pets cp2649d tubarao vermelho/azul (vermelho/azul un)";"Clio Pets";CP2649D;13;58601;2563565;2563565-VERMELHOAZUL;Produto;Filho;;42029200;;0;0,300;28,00;12,00;35,00;0;"mochila infantil clio pets, mochila clio pets, mochila pinguim infantil, mochila pato infantil, mochila tubarão infantil, mochila personagem infantil, mochila escola infantil, mochila creche infantil, mochila pequena infantil, mochila leve infantil, mochila divertida infantil, mochila bichinhos infantil, mochila escolar infantil unissex, mochila infantil colorida, mochila com bolso frontal, mochila infantil com zíper, mochila infantil confortável, mochila infantil resistente, mochila pré escolar, mochila para crianças pequenas, mochila infantil personagens, mochila infantil divertida, mochila infantil moderna, mochila infantil para passeio, mochila infantil com bolsos laterais, mochila infantil clio, mochila escolar bebê, mochila infantil anatômica, mochila infantil compacta, mochila infantil dia a dia, mochila infantil unissex, mochila infantil fofinha, mochila infantil premium, mochila infantil temática, mochila infantil masculina e feminina, mochila infantil para meninos, mochila infantil para meninas, mochila escolar básica infantil, mochila infantil personagem animal, mochila infantil lúdica, mochila infantil confortável para escola, mochila infantil prática, mochila infantil com detalhes 3D, mochila infantil pinguim clio, mochila infantil pato clio, mochila infantil tubarão clio, mochila escolar infantil pequena, mochila infantil para lanche e material, mochila infantil resistente para escola.";;"17/02/2026 11:06:47";Sim
